"Id","Contrato","Numero","Fecha Envio","Total","Adjunto","Estado"
"1","296972-15-CL20","3191-1667-SE20","01/04/2020","$1.644.580,00","","ANULADA"
"2","4112-44-CL20","3191-5812-SE20","02/12/2020","$16.036.608,00","","ACEPTADA"
"3","4112-11-CL21","3191-1920-SE21BK1","07/04/2021","$1.120.448,00","","ANULADA"
"4","4112-12-CL21","3191-785-SE21BK1","03/02/2021","$1.545.503,00","","ANULADA"
"5","4112-12-CL21","3191-1911-SE21BK1","06/04/2021","$1.545.503,00","","ANULADA"
"6","4112-12-CL21","3191-1463-SE21BK1","11/03/2021","$1.545.503,00","","ANULADA"
"7","4112-56-CL18","3191-2710-SE20","06/09/2021","$2.300.000,00","","INGRESADA"
"8","4112-56-CL18","3191-7482-SE18","31/12/2018","$1.650.000,00","","RECEPCIÓN CONFORME"
"9","4112-56-CL18","3191-348-SE21","13/01/2021","$3.650.000,00","","ACEPTADA"
"10","4112-56-CL18","3191-3242-SE20","13/07/2020","$2.350.000,00","","ACEPTADA"
"11","4112-56-CL18","3191-6032-SE20","15/12/2020","$2.850.000,00","","ACEPTADA"
"12","4112-56-CL18","3191-4481-SE20","17/09/2020","$4.500.000,00","","ACEPTADA"
"13","4112-56-CL18","3191-1918-SE20","17/04/2020","$1.550.000,00","","ACEPTADA"
"14","4112-56-CL18","3191-759-SE20","07/02/2020","$2.400.000,00","","ACEPTADA"
"15","4112-56-CL18","3191-6682-SE19","10/12/2019","$1.650.000,00","","ACEPTADA"
"16","4112-56-CL18","3191-942-SE21","11/02/2021","$1.350.000,00","","ACEPTADA"
"17","4112-56-CL18","3191-1478-SE21","15/03/2021","$3.500.000,00","","ACEPTADA"
"18","4112-56-CL18","3191-1267-SE20","13/03/2020","$1.700.000,00","","ACEPTADA"
"19","4112-56-CL18","3191-6253-SE19","20/11/2019","$2.050.000,00","","ACEPTADA"
"20","4112-56-CL18","3191-5410-SE20","11/11/2020","$4.600.000,00","","ACEPTADA"
"21","4112-56-CL18","3191-4992-SE20","16/10/2020","$3.500.000,00","","ACEPTADA"
"22","4112-56-CL18","3191-2285-SE20","17/05/2020","$1.100.000,00","","ACEPTADA"
"23","4112-56-CL18","3191-184-SE20","10/01/2020","$1.100.000,00","","ACEPTADA"
"24","4112-56-CL18","3191-3998-SE20","24/08/2020","$2.650.000,00","","ACEPTADA"
"25","4112-44-CL20","3191-617-SE21","26/01/2020","$15.778.947,00","","ACEPTADA"
"26","4112-45-CL18","3191-1207-SE21","26/02/2021","$357.000,00","","ACEPTADA"
"27","4112-45-CL18","3191-1319-SE21","05/03/2021","$357.000,00","","ACEPTADA"
"28","4112-45-CL18","3191-1431-SE19","02/04/2019","$856.800,00","","RECEPCIÓN CONFORME"
"29","4112-45-CL18","3191-1623-SE19","11/04/2019","$4.694.550,00","","RECEPCIÓN CONFORME"
"30","4112-45-CL18","3191-1708-SE20","02/04/2020","$3.534.300,00","","ACEPTADA"
"31","4112-45-CL18","3191-1932-SE21","07/04/2021","$392.700,00","","ACEPTADA"
"32","4112-45-CL18","3191-1971-SE19","30/04/2019","$3.558.100,00","","ACEPTADA"
"33","4112-45-CL18","3191-2093-SE20","04/05/2020","$660.450,00","","ACEPTADA"
"34","4112-45-CL18","3191-212-SE19","15/01/2019","$1.868.300,00","","RECEPCIÓN CONFORME"
"35","4112-45-CL18","3191-2598-SE19","31/05/2019","$3.201.100,00","","RECEPCIÓN CONFORME"
"36","4112-45-CL18","3191-2704-SE19","05/06/2019","$1.071.000,00","","ACEPTADA"
"37","4112-45-CL18","3191-2761-SE19","07/06/2019","$380.800,00","","RECEPCIÓN CONFORME"
"38","4112-45-CL18","3191-2850-SE19","11/06/2019","$1.904.000,00","","RECEPCIÓN CONFORME"
"39","4112-45-CL18","3191-3159-SE19","25/06/2019","$2.618.000,00","","RECEPCIÓN CONFORME"
"40","4112-45-CL18","3191-3524-SE19","15/07/2019","$297.500,00","","RECEPCIÓN CONFORME"
"41","4112-45-CL18","3191-3748-SE19","26/07/2019","$3.022.600,00","","RECEPCIÓN CONFORME"
"42","4112-45-CL18","3191-4057-SE20","27/08/2020","$428.400,00","","ACEPTADA"
"43","4112-45-CL18","3191-4318-SE20","10/09/2020","$172.550,00","","ACEPTADA"
"44","4112-45-CL18","3191-4716-SE19","06/09/2019","$2.927.400,00","","ACEPTADA"
"45","4112-45-CL18","3191-5369-SE20","10/11/2020","$606.900,00","","ACEPTADA"
"46","4112-45-CL18","3191-5712-SE19","28/10/2019","$928.200,00","","ACEPTADA"
"47","4112-45-CL18","3191-591-SE21","25/01/2021","$202.300,00","","ACEPTADA"
"48","4112-45-CL18","3191-6146-SE20","17/12/2020","$654.500,00","","ACEPTADA"
"49","4112-45-CL18","3191-7188-SE18","17/12/2018","$4.295.900,00","","RECEPCIÓN CONFORME"
"50","4112-45-CL18","3191-7399-SE18","27/12/2018","$1.255.450,00","","RECEPCIÓN CONFORME"
"51","4112-45-CL18","3191-90-SE19","09/01/2019","$2.777.232,00","","RECEPCIÓN CONFORME"
"52","4112-46-CL20","3191-4896-SE20","26/11/2020","$70.823.350,00","","ACEPTADA"
"53","4112-47-CL19","3191-1084-SE20","02/03/2020","$1.332.800,00","","ACEPTADA"
"54","4112-47-CL19","3191-1146-SE20","06/03/2020","$1.332.800,00","","ACEPTADA"
"55","4112-47-CL19","3191-1473-SE21","12/03/2021","$1.332.800,00","","ACEPTADA"
"56","4112-47-CL19","3191-1619-SE20","30/03/2020","$1.487.500,00","","ACEPTADA"
"57","4112-47-CL19","3191-1675-SE21","24/03/2021","$1.332.800,00","","ACEPTADA"
"58","4112-47-CL19","3191-1814-SE21","31/03/2021","$1.332.800,00","","ACEPTADA"
"59","4112-47-CL19","3191-1817-SE21","31/03/2021","$1.332.800,00","","ACEPTADA"
"60","4112-47-CL19","3191-185-SE20","10/01/2020","$1.332.800,00","","ACEPTADA"
"61","4112-47-CL19","3191-186-SE20","10/01/2020","$1.332.800,00","","ACEPTADA"
"62","4112-47-CL19","3191-1919-SE20","17/04/2020","$1.332.800,00","","ACEPTADA"
"63","4112-47-CL19","3191-2169-SE20","08/05/2020","$1.332.800,00","","ACEPTADA"
"64","4112-47-CL19","3191-2174-SE20","09/05/2020","$1.332.800,00","","ACEPTADA"
"65","4112-47-CL19","3191-2175-SE20","09/05/2020","$1.332.800,00","","ACEPTADA"
"66","4112-47-CL19","3191-2489-SE20","29/05/2020","$2.665.600,00","","ACEPTADA"
"67","4112-47-CL19","3191-2714-SE20","12/06/2020","$1.332.800,00","","ACEPTADA"
"68","4112-47-CL19","3191-294-SE21","12/01/2021","$1.332.800,00","","ACEPTADA"
"69","4112-47-CL19","3191-3753-SE20","10/08/2020","$1.332.800,00","","ACEPTADA"
"70","4112-47-CL19","3191-4080-SE20","28/08/2020","$1.332.800,00","","ACEPTADA"
"71","4112-47-CL19","3191-4136-SE20","01/09/2020","$1.332.800,00","","ACEPTADA"
"72","4112-47-CL19","3191-414-SE20","23/01/2020","$1.332.800,00","","ACEPTADA"
"73","4112-47-CL19","3191-415-SE20","23/01/2020","$1.332.800,00","","ACEPTADA"
"74","4112-47-CL19","3191-4415-SE20","15/09/2020","$1.332.800,00","","ACEPTADA"
"75","4112-47-CL19","3191-4989-SE20","16/10/2020","$2.665.600,00","","ACEPTADA"
"76","4112-47-CL19","3191-5204-SE20","29/10/2020","$1.332.800,00","","ACEPTADA"
"77","4112-47-CL19","3191-55-SE21","04/01/2021","$1.332.800,00","","ACEPTADA"
"78","4112-47-CL19","3191-6102-SE20","16/12/2020","$1.332.800,00","","ACEPTADA"
